CustomerID,TotalSpent,OrderCount,FirstInvoiceDate,LastInvoiceDate,CustomerLifespan,Recency,PurchaseFrequency
12346.0,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,1,325,30.0
12347.0,4310.0,7,2010-12-07 14:57:00,2011-12-07 15:52:00,365,1,0.58
12357.0,6207.67,1,2011-11-06 16:07:00,2011-11-06 16:07:00,1,32,30.0
12359.0,6372.58,4,2011-01-12 12:43:00,2011-10-13 12:47:00,274,57,0.44
12362.0,4737.23,10,2011-02-17 10:30:00,2011-12-06 15:40:00,292,2,1.03
12378.0,4008.62,1,2011-08-02 10:34:00,2011-08-02 10:34:00,1,129,30.0
12409.0,11072.67,3,2011-06-10 12:19:00,2011-09-22 10:38:00,103,78,0.87
12415.0,124564.53,20,2011-01-06 11:12:00,2011-11-15 14:22:00,313,23,1.92
12428.0,6405.26,8,2011-03-01 09:33:00,2011-11-14 08:22:00,257,25,0.93
12431.0,6382.45,15,2010-12-01 10:03:00,2011-11-04 11:55:00,338,35,1.33
12432.0,4359.32,4,2011-06-20 13:27:00,2011-10-28 11:43:00,129,42,0.93
12433.0,13375.87,7,2010-12-01 13:24:00,2011-12-09 10:02:00,372,0,0.56
12435.0,7829.89,2,2011-03-17 07:40:00,2011-09-21 09:06:00,188,79,0.32
12437.0,4447.41,18,2011-01-12 14:13:00,2011-12-08 11:35:00,329,1,1.64
12444.0,4085.46,5,2011-06-21 14:00:00,2011-11-18 13:23:00,149,20,1.01
12451.0,8995.52,5,2011-01-19 09:05:00,2011-11-29 08:40:00,313,10,0.48
12471.0,17424.05,27,2010-12-10 09:35:00,2011-12-07 15:43:00,362,1,2.24
12472.0,6068.11,7,2010-12-05 14:19:00,2011-11-07 14:01:00,336,31,0.62
12474.0,6745.79,18,2011-01-14 10:06:00,2011-11-22 14:39:00,312,16,1.73
12476.0,5898.42,11,2010-12-13 14:39:00,2011-11-24 12:40:00,345,15,0.96
12477.0,13219.74,6,2011-02-11 12:45:00,2011-11-17 09:51:00,278,22,0.65
12481.0,5020.32,10,2010-12-09 10:13:00,2011-11-17 08:29:00,342,22,0.88
12484.0,3953.72,4,2011-01-07 14:04:00,2011-11-04 15:18:00,301,34,0.4
12490.0,4859.93,10,2011-01-14 09:13:00,2011-12-04 16:07:00,324,4,0.93
12500.0,4059.82,11,2011-01-10 09:48:00,2011-11-16 16:20:00,310,22,1.06
12524.0,3945.72,8,2011-01-10 10:35:00,2011-11-30 15:31:00,324,8,0.74
12536.0,4279.71,1,2011-10-11 14:52:00,2011-10-11 14:52:00,1,58,30.0
12539.0,5568.35,4,2011-01-10 09:11:00,2011-11-17 13:30:00,311,21,0.39
12540.0,11580.24,17,2010-12-13 09:39:00,2011-11-20 11:31:00,342,19,1.49
12557.0,11990.96,5,2010-12-03 12:20:00,2011-11-23 16:59:00,355,15,0.42
12567.0,8609.28,10,2010-12-05 11:57:00,2011-11-17 11:02:00,346,22,0.87
12583.0,6705.38,15,2010-12-01 08:45:00,2011-12-07 08:07:00,370,2,1.22
12590.0,9341.26,1,2011-05-12 14:46:00,2011-05-12 14:46:00,1,210,30.0
12621.0,12411.67,20,2010-12-09 10:16:00,2011-12-08 11:25:00,364,1,1.65
12626.0,5954.48,9,2011-01-17 11:01:00,2011-11-16 16:06:00,303,22,0.89
12627.0,4082.53,6,2011-07-22 13:59:00,2011-11-29 12:07:00,129,10,1.4
12637.0,5823.9,8,2011-01-20 10:47:00,2011-10-03 13:46:00,256,66,0.94
12664.0,4391.88,9,2011-01-21 11:42:00,2011-12-01 17:07:00,314,7,0.86
12678.0,16331.46,9,2010-12-21 14:26:00,2011-10-28 13:04:00,310,41,0.87
12681.0,12365.54,22,2010-12-07 10:08:00,2011-11-25 11:33:00,353,14,1.87
12682.0,11028.22,31,2010-12-03 13:59:00,2011-12-06 10:00:00,367,3,2.53
12683.0,7612.57,14,2010-12-09 10:37:00,2011-12-05 16:28:00,361,3,1.16
12688.0,4873.81,1,2011-08-18 08:49:00,2011-08-18 08:49:00,1,113,30.0
12700.0,4525.99,4,2011-05-08 16:10:00,2011-12-02 10:47:00,207,7,0.58
12705.0,6382.29,8,2010-12-17 15:58:00,2011-11-24 13:17:00,341,14,0.7
12709.0,9430.52,15,2010-12-08 09:49:00,2011-11-24 15:38:00,351,14,1.28
12712.0,3928.13,13,2010-12-03 14:30:00,2011-11-11 08:19:00,342,28,1.14
12714.0,4294.86,5,2011-02-18 10:53:00,2011-11-30 15:43:00,285,8,0.53
12720.0,5115.7300000000005,25,2010-12-05 15:21:00,2011-12-07 08:03:00,366,2,2.05
12731.0,18751.91,12,2010-12-10 10:56:00,2011-11-16 11:59:00,341,23,1.06
12744.0,9120.39,4,2011-01-25 13:26:00,2011-10-14 14:54:00,262,55,0.46
12747.0,4196.01,11,2010-12-05 15:38:00,2011-12-07 14:34:00,366,1,0.9
12748.0,32317.32,206,2010-12-01 12:48:00,2011-12-09 12:20:00,372,0,16.61
12749.0,4040.88,5,2011-05-10 15:25:00,2011-12-06 09:56:00,209,3,0.72
12752.0,4366.78,1,2011-09-19 13:32:00,2011-09-19 13:32:00,1,80,30.0
12753.0,21429.39,6,2010-12-12 11:44:00,2011-11-17 10:52:00,339,22,0.53
12755.0,3811.95,2,2010-12-09 10:44:00,2011-03-04 12:42:00,85,280,0.71
12757.0,4199.2,9,2011-05-12 19:01:00,2011-11-24 12:30:00,195,15,1.38
12766.0,6457.63,7,2010-12-08 13:53:00,2011-12-06 08:46:00,362,3,0.58
12779.0,3981.36,8,2010-12-03 13:40:00,2011-11-02 11:43:00,333,37,0.72
12798.0,6977.04,3,2011-06-22 10:11:00,2011-11-29 15:52:00,160,9,0.56
12830.0,6814.64,6,2011-06-21 10:53:00,2011-11-02 11:54:00,134,37,1.34
12839.0,5591.42,14,2010-12-07 15:48:00,2011-12-07 12:33:00,364,2,1.15
12841.0,4022.35,25,2010-12-03 10:43:00,2011-12-05 11:13:00,367,4,2.04
12867.0,4036.82,7,2010-12-14 16:39:00,2011-11-13 15:30:00,333,25,0.63
12901.0,17654.54,28,2011-03-14 10:41:00,2011-12-01 10:07:00,261,8,3.22
12921.0,16587.09,37,2010-12-01 15:06:00,2011-11-30 16:22:00,364,8,3.05
12931.0,42055.96,15,2010-12-17 09:45:00,2011-11-18 12:39:00,336,21,1.34
12939.0,11581.8,8,2011-01-09 11:20:00,2011-10-06 14:33:00,270,63,0.89
12949.0,4167.22,8,2011-04-01 13:20:00,2011-11-09 11:25:00,221,30,1.09
12955.0,4757.16,11,2011-03-17 09:03:00,2011-12-08 16:29:00,266,0,1.24
12957.0,4017.54,8,2011-01-04 12:18:00,2011-11-30 09:53:00,329,9,0.73
12971.0,11189.91,86,2010-12-02 16:42:00,2011-12-06 12:20:00,368,3,7.01
12980.0,7374.900000000001,9,2010-12-16 11:36:00,2011-07-05 09:34:00,200,157,1.35
12989.0,6924.110000000001,15,2010-12-10 13:24:00,2011-12-06 15:28:00,361,2,1.25
13001.0,9818.82,13,2011-01-17 12:45:00,2011-12-05 14:51:00,322,3,1.21
13004.0,5655.91,18,2010-12-17 08:20:00,2011-11-28 11:27:00,346,11,1.56
13013.0,4810.9400000000005,13,2010-12-03 12:28:00,2011-12-08 15:01:00,370,0,1.05
13018.0,7277.7,28,2011-02-17 11:05:00,2011-11-23 13:28:00,279,15,3.01
13027.0,6912.0,6,2010-12-20 12:45:00,2011-08-18 09:39:00,240,113,0.75
13050.0,5833.11,17,2010-12-08 09:30:00,2011-11-25 09:18:00,351,14,1.45
13069.0,4436.12,24,2010-12-05 11:02:00,2011-12-09 08:39:00,368,0,1.96
13078.0,12627.94,26,2010-12-08 09:07:00,2011-12-06 15:36:00,363,2,2.15
13081.0,28337.38,11,2010-12-03 17:20:00,2011-11-28 10:54:00,359,11,0.92
13089.0,58825.83,97,2010-12-05 10:27:00,2011-12-07 09:02:00,366,2,7.95
13090.0,8895.82,13,2010-12-02 07:48:00,2011-12-01 12:39:00,364,8,1.07
13093.0,7832.47,8,2010-12-01 15:00:00,2011-03-09 12:14:00,97,275,2.47
13097.0,6010.42,10,2010-12-14 15:13:00,2011-11-07 10:43:00,327,32,0.92
13098.0,28882.44,28,2011-01-26 13:46:00,2011-12-08 14:14:00,316,0,2.66
13102.0,6424.09,24,2010-12-09 13:38:00,2011-12-08 12:52:00,363,0,1.98
13113.0,12245.96,24,2010-12-08 13:21:00,2011-12-09 12:49:00,365,0,1.97
13124.0,3866.33,3,2010-12-15 15:00:00,2011-09-11 12:45:00,269,89,0.33
13137.0,3650.41,8,2011-02-04 11:54:00,2011-11-29 12:09:00,298,10,0.81
13139.0,5064.94,7,2011-03-25 11:57:00,2011-11-23 13:54:00,243,15,0.86
13148.0,3707.12,12,2010-12-10 13:06:00,2011-11-10 15:23:00,335,28,1.07
13178.0,5725.47,11,2010-12-14 12:22:00,2011-11-13 16:14:00,334,25,0.99
13183.0,3957.78,9,2011-01-09 10:50:00,2011-12-02 10:30:00,326,7,0.83
13199.0,9802.12,37,2010-12-08 10:51:00,2011-12-06 12:30:00,363,3,3.06
13209.0,5891.61,8,2010-12-13 10:31:00,2011-11-09 13:54:00,331,29,0.73
13225.0,6463.84,7,2010-12-13 09:49:00,2011-12-06 13:29:00,358,2,0.59
13263.0,7428.85,34,2011-01-18 16:31:00,2011-12-08 13:59:00,323,0,3.16
13266.0,3834.26,12,2011-03-28 10:14:00,2011-11-28 14:39:00,245,10,1.47
13267.0,4521.49,19,2010-12-08 09:20:00,2011-12-07 11:12:00,364,2,1.57
13269.0,5346.2300000000005,15,2010-12-05 11:51:00,2011-12-08 14:53:00,368,0,1.22
13316.0,5977.7300000000005,4,2011-03-30 13:01:00,2011-11-02 13:40:00,217,36,0.55
13319.0,10845.55,26,2010-12-09 10:04:00,2011-12-04 13:34:00,360,4,2.17
13324.0,7121.95,10,2010-12-14 09:50:00,2011-11-03 16:28:00,324,35,0.93
13327.0,3627.77,8,2010-12-09 15:32:00,2011-11-01 10:21:00,326,38,0.74
13340.0,10736.48,7,2011-03-08 11:39:00,2011-10-25 13:15:00,231,44,0.91
13381.0,3639.31,6,2011-02-14 10:10:00,2011-11-08 11:58:00,267,31,0.67
